#Data Set Export - GWL.Test@008877,,,,,
Timestamp (UTC),Value (Feet),Grade Code,Approval Level,Interpolation Type,Event Timestamp
2014-08-15 05:00:00,5.71,41,650,2,
2014-08-16 05:00:00,5.72,41,650,2,
2014-08-17 05:00:00,5.7,41,650,2,
2014-08-18 05:00:00,5.68,41,650,2,
2014-08-19 05:00:00,5.67,41,650,2,
2014-08-20 05:00:00,5.68,41,650,2,
2014-08-21 05:00:00,5.68,41,650,2,
2014-08-22 05:00:00,5.66,41,650,2,
2014-08-23 05:00:00,5.65,41,650,2,
2014-08-24 05:00:00,5.66,41,650,2,
2014-08-25 05:00:00,5.67,41,650,2,
2014-08-26 05:00:00,5.655,41,650,2,
2014-08-27 05:00:00,5.61999999999884,41,650,2,
2014-08-28 05:00:00,5.59,41,650,2,
2014-08-29 05:00:00,5.63,41,650,2,
2014-08-30 05:00:00,5.68,41,650,2,
2014-08-31 05:00:00,5.66,41,650,2,
2014-09-01 05:00:00,5.63,41,650,2,
2014-09-02 05:00:00,5.6,41,650,2,
2014-09-03 05:00:00,5.57,41,650,2,
2014-09-04 05:00:00,5.55,41,650,2,
2014-09-05 05:00:00,5.58,41,650,2,
2014-09-06 05:00:00,5.6,41,650,2,
2014-09-07 05:00:00,5.61,41,650,2,
2014-09-08 05:00:00,5.64,41,650,2,
2014-09-09 05:00:00,5.69,41,650,2,
2014-09-10 05:00:00,5.71,41,650,2,
2014-09-11 05:00:00,5.7,41,650,2,
2014-09-12 05:00:00,5.68,41,650,2,
2014-09-13 05:00:00,5.62,41,650,2,
2014-09-14 05:00:00,5.62,41,650,2,
2014-09-15 05:00:00,5.62,41,650,2,
2014-09-16 05:00:00,5.61,41,650,2,
2014-09-17 05:00:00,5.59,41,650,2,
2014-09-18 05:00:00,5.59,41,650,2,
2014-09-19 05:00:00,5.59,41,650,2,
2014-09-20 05:00:00,5.58,41,650,2,
2014-09-21 05:00:00,5.59,41,650,2,
2014-09-22 05:00:00,5.59,41,650,2,
2014-09-23 05:00:00,5.6,41,650,2,
2014-09-24 05:00:00,5.58,41,650,2,
2014-09-25 05:00:00,5.55,41,650,2,
2014-09-26 05:00:00,5.53,41,650,2,
2014-09-27 05:00:00,5.55,41,650,2,
2014-09-28 05:00:00,5.59,41,650,2,
2014-09-29 05:00:00,5.63,41,650,2,
2014-09-30 05:00:00,5.68,41,650,2,
2014-10-01 05:00:00,5.67,41,650,2,
2014-10-02 05:00:00,5.66,41,650,2,
2014-10-03 05:00:00,5.66,21,650,2,
2014-10-04 05:00:00,5.63551303377711,21,650,2,
2014-10-05 05:00:00,5.58527345125491,21,650,2,
2014-10-06 05:00:00,5.51049414928849,21,650,2,
2014-10-07 05:00:00,5.53706414593259,21,650,2,
2014-10-08 05:00:00,5.58259379020408,21,650,2,
2014-10-09 05:00:00,5.57847653065658,21,650,2,
2014-10-10 05:00:00,5.52956103297233,21,650,2,
2014-10-11 05:00:00,5.50790278812373,21,650,2,
2014-10-12 05:00:00,5.50562032151523,21,650,2,
2014-10-13 05:00:00,5.49082841266242,21,650,2,
2014-10-14 05:00:00,5.54957369154021,21,650,2,
2014-10-15 05:00:00,5.71545643199283,21,650,2,
2014-10-16 05:00:00,5.65532403384533,21,650,2,
2014-10-17 05:00:00,5.73623198807045,21,650,2,
2014-10-18 05:00:00,5.82088522117359,21,650,2,
2014-10-19 05:00:00,5.84426479698402,21,650,2,
2014-10-20 05:00:00,5.8209987348323,21,650,2,
2014-10-21 05:00:00,5.81293443454376,21,650,2,
2014-10-22 05:00:00,5.78732914895431,21,650,2,
2014-10-23 05:00:00,5.73500886168673,21,650,2,
2014-10-24 05:00:00,5.69120054837725,21,650,2,
2014-10-25 05:00:00,5.67247420566974,21,650,2,
2014-10-26 05:00:00,5.62599250891166,21,650,2,
2014-10-27 05:00:00,5.60632039132001,21,650,2,
2014-10-28 05:00:00,5.60357764415577,21,650,2,
2014-10-29 05:00:00,5.60028636823137,21,650,2,
2014-10-30 05:00:00,5.59650326869451,21,650,2,
2014-10-31 05:00:00,5.56068361435547,21,650,2,
2014-11-01 05:00:00,5.51725361099957,21,650,2,
2014-11-02 05:00:00,5.39285261898674,21,650,2,
2014-11-03 05:00:00,5.33309853079306,21,650,2,
2014-11-04 05:00:00,5.35504683739087,21,650,2,
2014-11-05 05:00:00,5.43459288611919,21,650,2,
2014-11-06 05:00:00,5.48972265023099,21,650,2,
2014-11-07 05:00:00,5.54334360554691,21,650,2,
2014-11-08 05:00:00,5.53345146379034,21,650,2,
2014-11-09 05:00:00,5.55555469953779,21,650,2,
2014-11-10 05:00:00,5.5354083204931,21,650,2,
2014-11-11 05:00:00,5.5069799691834,21,650,2,
2014-11-12 05:00:00,5.46913713405245,21,650,2,
2014-11-13 05:00:00,5.44369799691816,21,650,2,
2014-11-14 05:00:00,5.42172573189527,21,650,2,
2014-11-15 05:00:00,5.33664098613248,21,650,2,
2014-11-16 05:00:00,5.28878274268094,21,650,2,
2014-11-17 05:00:00,5.30214175654844,21,650,2,
2014-11-18 05:00:00,5.43128659476108,21,650,2,
2014-11-19 05:00:00,5.27913713405221,21,650,2,
2014-11-20 05:00:00,5.1733436055471,21,650,2,
2014-11-21 05:00:00,5.1703081664097,21,650,2,
2014-11-22 05:00:00,5.17016178736523,21,650,2,
2014-11-23 05:00:00,5.19864406779653,21,650,2,
2014-11-24 05:00:00,5.41505392912156,21,650,2,
2014-11-25 05:00:00,5.56288135593214,21,650,2,
2014-11-26 05:00:00,5.62559322033899,21,650,2,
2014-11-27 05:00:00,5.70936825885966,21,650,2,
2014-11-28 05:00:00,5.79251155624027,21,650,2,
2014-11-29 05:00:00,5.8210477657934,21,650,2,
2014-11-30 05:00:00,5.88560862865934,21,650,2,
2014-12-01 05:00:00,5.94477657935276,21,650,2,
2014-12-02 05:00:00,5.9724268104777,21,650,2,
2014-12-03 05:00:00,6.01283513097058,21,650,2,
2014-12-04 05:00:00,6.02623981373671,21,650,2,
2014-12-05 05:00:00,5.98496507566919,21,650,2,
2014-12-06 05:00:00,5.91448777648407,21,650,2,
2014-12-07 05:00:00,5.8950756693828,21,650,2,
2014-12-08 05:00:00,5.80560535506376,21,650,2,
2014-12-09 05:00:00,5.72862048894051,21,650,2,
2014-12-10 05:00:00,5.65104190919659,21,650,2,
2014-12-11 05:00:00,5.59908614668199,21,650,2,
2014-12-12 05:00:00,5.58357974388799,21,650,2,
2014-12-13 05:00:00,5.55055878928978,21,650,2,
2014-12-14 05:00:00,5.52671129220005,21,650,2,
2014-12-15 05:00:00,5.49540454016269,21,650,2,
2014-12-16 05:00:00,5.46398137369036,21,650,2,
2014-12-17 05:00:00,5.44989522700796,21,650,2,
