#Data Set Export - GWL.NAVD88.Daily@007495,,,,,
Timestamp (UTC),Value (Feet),Grade Code,Approval Level,Interpolation Type,Event Timestamp
2012-04-17 00:00:00,5.96287878787879,41,650,8,
2012-04-18 00:00:00,5.96465277777778,41,650,8,
2012-04-19 00:00:00,6.00885416666667,41,650,8,
2012-04-20 00:00:00,5.99208333333333,41,650,8,
2012-04-21 00:00:00,6.02288194444444,41,650,8,
2012-04-22 00:00:00,6.11763888888889,41,650,8,
2012-04-23 00:00:00,5.89399305555556,41,650,8,
2012-04-24 00:00:00,5.52222222222222,41,650,8,
2012-04-25 00:00:00,5.46892361111111,41,650,8,
2012-04-26 00:00:00,5.40177083333333,41,650,8,
2012-04-27 00:00:00,5.3596875,41,650,8,
2012-04-28 00:00:00,5.23118055555556,41,650,8,
2012-04-29 00:00:00,5.16416666666667,41,650,8,
2012-04-30 00:00:00,5.18618055555556,41,650,8,
2012-05-01 00:00:00,5.150625,41,650,8,
2012-05-02 00:00:00,5.335,41,650,8,
2012-05-03 00:00:00,5.47364583333333,41,650,8,
2012-05-04 00:00:00,5.53475694444444,41,650,8,
2012-05-05 00:00:00,5.54586805555556,41,650,8,
2012-05-06 00:00:00,5.56802083333333,41,650,8,
2012-05-07 00:00:00,5.62190972222222,41,650,8,
2012-05-08 00:00:00,5.68763888888889,41,650,8,
2012-05-09 00:00:00,5.74822916666667,41,650,8,
2012-05-10 00:00:00,5.73083333333333,41,650,8,
2012-05-11 00:00:00,5.70072916666667,41,650,8,
2012-05-12 00:00:00,5.75135416666667,41,650,8,
2012-05-13 00:00:00,5.82944444444444,41,650,8,
2012-05-14 00:00:00,5.90340277777778,41,650,8,
2012-05-15 00:00:00,5.94076388888889,41,650,8,
2012-05-16 00:00:00,5.95798611111111,41,650,8,
2012-05-17 00:00:00,5.96180555555556,41,650,8,
2012-05-18 00:00:00,5.94208333333333,41,650,8,
2012-05-19 00:00:00,5.8996875,41,650,8,
2012-05-20 00:00:00,5.85065972222222,41,650,8,
2012-05-21 00:00:00,5.823125,41,650,8,
2012-05-22 00:00:00,5.81927083333333,41,650,8,
2012-05-23 00:00:00,5.84361111111111,41,650,8,
2012-05-24 00:00:00,5.85274305555556,41,650,8,
2012-05-25 00:00:00,5.82753472222222,41,650,8,
2012-05-26 00:00:00,5.78961805555556,41,650,8,
2012-05-27 00:00:00,5.74829861111111,41,650,8,
2012-05-28 00:00:00,5.75614583333333,41,650,8,
2012-05-29 00:00:00,5.81621527777778,41,650,8,
2012-05-30 00:00:00,5.83649305555556,41,650,8,
2012-05-31 00:00:00,5.83524305555556,41,650,8,
2012-06-01 00:00:00,5.85791666666667,41,650,8,
2012-06-02 00:00:00,5.87597222222222,41,650,8,
2012-06-03 00:00:00,5.8359375,41,650,8,
2012-06-04 00:00:00,5.84465277777778,41,650,8,
2012-06-05 00:00:00,5.85552083333333,41,650,8,
2012-06-06 00:00:00,5.91392361111111,41,650,8,
2012-06-07 00:00:00,5.96340277777778,41,650,8,
2012-06-08 00:00:00,5.96885416666667,41,650,8,
2012-06-09 00:00:00,5.96034722222222,41,650,8,
2012-06-10 00:00:00,5.99357638888889,41,650,8,
2012-06-11 00:00:00,5.95597222222222,41,650,8,
2012-06-12 00:00:00,5.90975694444444,41,650,8,
2012-06-13 00:00:00,5.87659722222222,41,650,8,
2012-06-14 00:00:00,5.85072916666667,41,650,8,
2012-06-15 00:00:00,5.83722222222222,41,650,8,
2012-06-16 00:00:00,5.83826388888889,41,650,8,
2012-06-17 00:00:00,5.85409722222222,41,650,8,
2012-06-18 00:00:00,5.85826388888889,41,650,8,
2012-06-19 00:00:00,5.86611111111111,41,650,8,
2012-06-20 00:00:00,5.85659722222222,41,650,8,
2012-06-21 00:00:00,5.87006944444444,41,650,8,
2012-06-22 00:00:00,5.89756944444444,41,650,8,
2012-06-23 00:00:00,5.88295138888889,41,650,8,
2012-06-24 00:00:00,5.97600694444444,41,650,8,
2012-06-25 00:00:00,6.42972222222222,41,650,8,
2012-06-26 00:00:00,9.90760416666667,41,650,8,
2012-06-27 00:00:00,10.9229166666667,41,650,8,
2012-06-28 00:00:00,10.9174652777778,41,650,8,
2012-06-29 00:00:00,10.6154861111111,41,650,8,
2012-06-30 00:00:00,10.1552083333333,41,650,8,
2012-07-01 00:00:00,9.57534722222222,41,650,8,
2012-07-02 00:00:00,9.06173611111111,41,650,8,
2012-07-03 00:00:00,8.64454861111111,41,650,8,
2012-07-04 00:00:00,8.29923611111111,41,650,8,
2012-07-05 00:00:00,8.03878472222222,41,650,8,
2012-07-06 00:00:00,7.80774305555556,41,650,8,
2012-07-07 00:00:00,7.580625,41,650,8,
2012-07-08 00:00:00,7.381875,41,650,8,
2012-07-09 00:00:00,7.19472222222222,41,650,8,
2012-07-10 00:00:00,7.04888888888889,41,650,8,
2012-07-11 00:00:00,6.93229166666667,41,650,8,
2012-07-12 00:00:00,6.80322916666667,41,650,8,
2012-07-13 00:00:00,6.68555555555556,41,650,8,
2012-07-14 00:00:00,6.59392361111111,41,650,8,
2012-07-15 00:00:00,6.48402777777778,41,650,8,
2012-07-16 00:00:00,6.37423611111111,41,650,8,
2012-07-17 00:00:00,6.30173611111111,41,650,8,
2012-07-18 00:00:00,6.320625,41,650,8,
2012-07-19 00:00:00,6.30996527777778,41,650,8,
2012-07-20 00:00:00,6.27694444444444,41,650,8,
2012-07-21 00:00:00,6.24486111111111,41,650,8,
2012-07-22 00:00:00,6.22402777777778,41,650,8,
2012-07-23 00:00:00,6.27430555555556,41,650,8,
2012-07-24 00:00:00,6.26913194444444,41,650,8,
2012-07-25 00:00:00,6.200625,41,650,8,
2012-07-26 00:00:00,6.13878472222222,41,650,8,
2012-07-27 00:00:00,6.11048611111111,41,650,8,
2012-07-28 00:00:00,6.05826388888889,41,650,8,
